Model,Representation,Input_Size,Test_RMSE,Test_MAE,Test_R2
MLP (lags),Levels,20,4.608992798312206,3.151833582406093,0.969546729759156
MLP (lags),Log Returns,20,0.0195887038347519,0.012703444206618,-0.0083928830380688
MLP (lags),FracDiff,20,4.313917755573374,2.9946735315359723,0.2987406672686407
CNN (GAF + scalar),Levels,32,8.82161560648282,7.679759412198452,0.8887947061874264
CNN (GAF + scalar),Log Returns,32,0.0196362136541053,0.012486492944086,-0.0064988479685668
CNN (GAF + scalar),FracDiff,32,5.010786393096097,3.812090010945413,0.0584587430355758
