Series,Window,Test_RMSE,Test_MAE,Test_R2,GAF_method
Levels,32,127.11554650829278,124.06644821166992,-22.090138612126655,summation
Log Returns,32,0.01959857004800847,0.01248311319867055,-0.002643529422654556,summation
FracDiff,32,7.332472771471096,6.062065208323839,-1.0161762472061997,summation
