Series,Test_RMSE,Test_MAE,Test_R2,Lags
Levels,4.608992798312206,3.1518335824060926,0.969546729759156,20
Log Returns,0.01958870383475197,0.01270344420661802,-0.008392883038068844,20
FracDiff,4.313917755573374,2.9946735315359723,0.2987406672686407,20
